Time,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_per_s,GyroY_deg_per_s,GyroZ_deg_per_s,AngleX_deg,AngleY_deg,AngleZ_deg,MagX_uT,MagY_uT,MagZ_uT
 20:35:12.154, -0.056, 0.002, -1.003, 0.061, 1.953, 0.793, 178.830, 3.093, -38.134, -26.658, -36.792, 9.233,
 20:35:12.263, -0.044, 0.019, -1.000, -0.122, 0.244, 0.000, 178.841, 2.994, -38.079, -26.667, -36.675, 8.842,
 20:35:12.355, -0.047, 0.014, -1.004, 0.061, 0.000, 0.977, 178.841, 2.933, -38.024, -26.675, -36.517, 8.883,
 20:35:12.450, -0.048, 0.021, -1.003, -0.122, 0.427, 0.000, 178.852, 2.911, -37.969, -26.792, -36.608, 9.017,
 20:35:12.561, -0.043, 0.020, -1.003, -0.122, 0.488, -0.061, 178.846, 2.911, -37.897, -26.817, -36.633, 8.758,
 20:35:12.653, -0.050, 0.012, -1.003, 0.000, -1.160, -0.183, 178.846, 2.862, -37.820, -26.758, -36.567, 8.933,
 20:35:12.746, -0.044, 0.020, -1.001, -0.061, 0.488, -0.305, 178.852, 2.911, -37.744, -26.800, -36.650, 8.683,
 20:35:12.856, -0.049, 0.014, -1.004, -0.061, 0.183, 0.305, 178.852, 2.862, -37.689, -26.758, -36.558, 8.700,
 20:35:12.949, -0.044, 0.021, -1.002, 0.000, -0.244, 0.183, 178.857, 2.823, -37.645, -26.867, -36.692, 8.800,
 20:35:13.060, -0.048, 0.015, -1.003, -0.061, 0.244, 0.122, 178.857, 2.829, -37.612, -26.817, -36.725, 8.633,
 20:35:13.153, -0.048, 0.016, -1.002, -0.122, -1.221, -0.366, 178.863, 2.895, -37.551, -26.750, -36.742, 8.692,
 20:35:13.247, -0.047, 0.018, -1.002, -0.183, -0.488, -0.305, 178.857, 2.928, -37.491, -26.733, -36.692, 8.600,
 20:35:13.355, -0.052, 0.015, -1.003, -0.122, -1.404, -1.465, 178.857, 2.939, -37.370, -26.700, -36.808, 8.808,
 20:35:13.448, -0.049, 0.020, -1.002, 0.000, -0.610, 0.000, 178.868, 2.944, -37.315, -26.700, -36.750, 8.833,
 20:35:13.559, -0.049, 0.017, -1.003, -0.061, -0.061, -0.122, 178.874, 2.928, -37.271, -26.725, -36.675, 9.075,
 20:35:13.651, -0.051, 0.016, -1.003, 0.000, -0.061, 0.000, 178.874, 2.939, -37.233, -26.658, -36.567, 9.167,
 20:35:13.745, -0.046, 0.018, -1.003, -0.305, -0.183, -0.488, 178.868, 2.939, -37.189, -26.708, -36.583, 9.225,
 20:35:13.854, -0.051, 0.013, -1.004, -0.122, -0.122, -0.244, 178.863, 2.928, -37.145, -26.600, -36.550, 9.425,
 20:35:13.948, -0.046, 0.021, -1.002, -0.183, 0.000, -0.061, 178.863, 2.933, -37.112, -26.658, -36.592, 9.250,
 20:35:14.043, -0.051, 0.015, -1.002, -0.183, -0.183, -0.061, 178.863, 2.922, -37.073, -26.658, -36.642, 9.358,
 20:35:14.150, -0.046, 0.018, -1.003, -0.122, 0.000, -0.122, 178.857, 2.922, -37.040, -26.742, -36.692, 9.433,
 20:35:14.242, -0.052, 0.016, -1.003, -0.122, -0.183, 0.000, 178.857, 2.917, -37.002, -26.575, -36.733, 9.025,
 20:35:14.352, -0.046, 0.018, -1.002, 0.000, 0.000, 0.000, 178.863, 2.922, -36.969, -26.600, -36.750, 8.867,
 20:35:14.446, -0.051, 0.014, -1.003, -0.061, 0.061, -0.427, 178.863, 2.917, -36.892, -26.675, -36.625, 9.183,
 20:35:14.540, -0.049, 0.019, -1.003, -0.122, -0.183, 0.000, 178.868, 2.917, -36.870, -26.558, -36.717, 8.933,
 20:35:14.649, -0.047, 0.020, -1.003, -0.061, 0.183, -0.244, 178.863, 2.911, -36.843, -26.633, -36.758, 9.025,
 20:35:14.741, -0.050, 0.015, -1.002, -0.061, -0.122, -0.122, 178.863, 2.911, -36.815, -26.667, -36.658, 9.358,
 20:35:14.838, -0.048, 0.016, -1.003, -0.122, 0.183, -0.061, 178.868, 2.906, -36.804, -26.750, -36.525, 9.383,
 20:35:14.945, -0.050, 0.017, -1.002, -0.061, -0.122, 0.000, 178.868, 2.900, -36.788, -26.592, -36.700, 8.900,
 20:35:15.039, -0.049, 0.018, -1.000, -0.183, 0.000, 0.000, 178.868, 2.900, -36.777, -26.675, -36.725, 8.933,
 20:35:15.137, -0.048, 0.017, -1.001, 0.000, -0.061, 0.000, 178.868, 2.895, -36.760, -26.567, -36.683, 9.383,
 20:35:15.236, -0.051, 0.017, -1.003, -0.061, 0.061, 0.000, 178.868, 2.895, -36.744, -26.583, -36.692, 9.150,
 20:35:15.336, -0.051, 0.018, -1.001, -0.122, 0.000, 0.000, 178.874, 2.895, -36.733, -26.625, -36.567, 9.242,
 20:35:15.445, -0.065, 0.021, -1.003, 0.000, -0.061, -0.427, 178.874, 2.889, -36.733, -26.675, -36.492, 9.425,
